Academy College (Bloomington, MN)
Illinois Wesleyan University (Bloomington, IL)
Innovations Design Academy (Canton, IL)
Institute for Clinical Social Work (Chicago, IL)
John A Logan College (Carterville, IL)
John Amico School of Hair Design (Oak Forest, IL)
John Wood Community College (Quincy, IL)
Joliet Junior College (Joliet, IL)
Judson University (Elgin, IL)
Kankakee Community College (Kankakee, IL)
Kaskaskia College (Centralia, IL)
Kishwaukee College (Malta, IL)
Knox College (Galesburg, IL)
Lake Forest College (Lake Forest, IL)
Lake Forest Graduate School of Management (Lake Forest, IL)
Lake Land College (Mattoon, IL)
Lakeview College of Nursing (Danville, IL)
Larry's Barber College (Chicago, IL)
Larry's Barber College (Chicago, IL)
Lewis University (Romeoville, IL)
Lewis and Clark Community College (Godfrey, IL)
Lincoln Christian University (Lincoln, IL)
Lincoln College (Lincoln, IL)
Lincoln College of Technology-Melrose Park (Melrose Park, IL)
Lincoln Land Community College (Springfield, IL)
Lincoln Trail College (Robinson, IL)
Loyola University Chicago (Chicago, IL)
Lutheran School of Theology at Chicago (Chicago, IL)
MacCormac College (Chicago, IL)
MacMurray College (Jacksonville, IL)
McCormick Theological Seminary (Chicago, IL)
McHenry County College (Crystal Lake, IL)
McKendree University (Lebanon, IL)
Meadville Lombard Theological School (Chicago, IL)
Methodist College (Peoria, IL)
Midwest College of Oriental Medicine-Evanston (Evanston, IL)
Midwest Technical Institute-East Peoria (East Peoria, IL)
Midwest Technical Institute-Moline (Moline, IL)
Midwest Technical Institute-Springfield (Springfield, IL)
Midwestern Career College (Chicago, IL)
Midwestern University-Downers Grove (Downers Grove, IL)
Millikin University (Decatur, IL)
Monmouth College (Monmouth, IL)
Moody Bible Institute (Chicago, IL)
Moraine Valley Community College (Palos Hills, IL)
Morrison Institute of Technology (Morrison, IL)
Morton College (Cicero, IL)
Mr John's School of Cosmetology & Nails-Jacksonville (Jacksonville, IL)
Mr John's School of Cosmetology Esthetics & Nails-Decatur (Decatur, IL)
Ms Roberts Academy of Beauty Culture (Hillside, IL)
National Latino Education Institute (Chicago, IL)
National University of Health Sciences (Lombard, IL)
National-Louis University (Chicago, IL)
Networks Barber College (Calumet City, IL)
Networks Barber College (Chicago, IL)
Networks Barber College (Chicago, IL)
North Central College (Naperville, IL)
North Park University (Chicago, IL)
NorthShore University HealthSystem School of Nurse Anesthesia (Evanston, IL)
Northeastern Illinois University (Chicago, IL)
Northern Baptist Theological Seminary (Lisle, IL)
Northern Illinois University (Dekalb, IL)
Northwestern College (Bridgeview, IL)
Northwestern University (Evanston, IL)
Oakton Community College (Des Plaines, IL)
Oehrlein School of Cosmetology (East Peoria, IL)
Olivet Nazarene University (Bourbonnais, IL)
Olney Central College (Olney, IL)
Pacific College of Health Science-Chicago (Chicago, IL)
Parkland College (Champaign, IL)
Paul Mitchell the School-Bradley (Bourbonnais, IL)
Paul Mitchell the School-Chicago (Chicago, IL)
Paul Mitchell the School-Lombard (Lombard, IL)
Paul Mitchell the School-Normal (Normal, IL)
Phipps Academy of Barbering (Richton Park, IL)
